source;target;interaction;directed;
I539;564;7;YANLIŞ;
I539;565;7;YANLIŞ;
I539;566;7;YANLIŞ;
I539;567;7;YANLIŞ;
I539;568;7;YANLIŞ;
I539;569;7;YANLIŞ;
I539;570;7;YANLIŞ;
I539;571;7;YANLIŞ;
I539;572;7;YANLIŞ;
I539;573;7;YANLIŞ;
I539;574;7;YANLIŞ;
I539;575;7;YANLIŞ;
I539;576;7;YANLIŞ;
I539;577;7;YANLIŞ;
I539;578;7;YANLIŞ;
I539;579;7;YANLIŞ;
I539;580;7;YANLIŞ;
I539;581;7;YANLIŞ;
I539;582;7;YANLIŞ;
I539;583;7;YANLIŞ;
I539;584;7;YANLIŞ;
I539;585;7;YANLIŞ;
I539;586;7;YANLIŞ;
I539;587;7;YANLIŞ;
I539;588;7;YANLIŞ;
I539;589;7;YANLIŞ;
I539;590;7;YANLIŞ;
I539;591;7;YANLIŞ;
I539;592;7;YANLIŞ;
I539;593;7;YANLIŞ;
I539;594;7;YANLIŞ;
I539;595;7;YANLIŞ;
I539;596;7;YANLIŞ;
I539;597;7;YANLIŞ;
I539;598;7;YANLIŞ;
I539;599;7;YANLIŞ;
I539;600;7;YANLIŞ;
I539;601;7;YANLIŞ;
I539;602;7;YANLIŞ;
I539;603;7;YANLIŞ;
I539;604;7;YANLIŞ;
I539;605;7;YANLIŞ;
I539;606;7;YANLIŞ;
I539;607;11;YANLIŞ;
I539;608;11;YANLIŞ;
I539;609;11;YANLIŞ;
I539;610;11;YANLIŞ;
I537;611;11;YANLIŞ;
I537;612;11;YANLIŞ;
I537;613;11;YANLIŞ;
I537;614;11;YANLIŞ;
I537;615;11;YANLIŞ;
I537;616;11;YANLIŞ;
I537;617;11;YANLIŞ;
I537;618;11;YANLIŞ;
I535;I532;7;YANLIŞ;
I535;I532;11;YANLIŞ;
I535;I532;13;YANLIŞ;
I535;I533;7;YANLIŞ;
I535;I533;11;YANLIŞ;
I535;I533;13;YANLIŞ;
I535;I534;7;YANLIŞ;
I535;I534;11;YANLIŞ;
I535;I534;13;YANLIŞ;
I535;619;7;YANLIŞ;
I535;620;7;YANLIŞ;
I535;621;7;YANLIŞ;
I535;622;7;YANLIŞ;
I535;623;7;YANLIŞ;
I535;624;7;YANLIŞ;
I535;625;7;YANLIŞ;
I535;626;7;YANLIŞ;
I535;627;7;YANLIŞ;
I535;628;7;YANLIŞ;
I535;629;7;YANLIŞ;
I535;630;7;YANLIŞ;
I535;631;7;YANLIŞ;
I535;632;7;YANLIŞ;
I535;633;7;YANLIŞ;
I535;634;7;YANLIŞ;
I535;635;7;YANLIŞ;
I535;636;7;YANLIŞ;
I535;637;7;YANLIŞ;
I535;638;7;YANLIŞ;
I535;639;7;YANLIŞ;
I535;640;7;YANLIŞ;
I535;641;7;YANLIŞ;
I535;642;7;YANLIŞ;
I535;643;7;YANLIŞ;
I535;644;7;YANLIŞ;
I535;645;7;YANLIŞ;
I535;646;7;YANLIŞ;
I535;647;7;YANLIŞ;
I535;648;7;YANLIŞ;
I535;649;7;YANLIŞ;
I535;650;7;YANLIŞ;
I535;651;7;YANLIŞ;
I535;652;7;YANLIŞ;
I535;653;7;YANLIŞ;
I535;654;7;YANLIŞ;
I535;655;7;YANLIŞ;
I535;656;7;YANLIŞ;
I535;657;7;YANLIŞ;
I535;658;7;YANLIŞ;
I535;659;7;YANLIŞ;
I535;660;7;YANLIŞ;
I535;661;7;YANLIŞ;
I535;662;7;YANLIŞ;
I535;663;7;YANLIŞ;
I535;664;7;YANLIŞ;
I535;665;7;YANLIŞ;
I535;666;7;YANLIŞ;
I535;667;7;YANLIŞ;
I535;668;7;YANLIŞ;
I535;669;7;YANLIŞ;
I535;670;7;YANLIŞ;
I535;671;7;YANLIŞ;
I535;672;7;YANLIŞ;
I535;673;7;YANLIŞ;
I535;674;7;YANLIŞ;
I535;675;7;YANLIŞ;
I535;676;7;YANLIŞ;
I535;677;7;YANLIŞ;
I535;678;7;YANLIŞ;
I535;679;7;YANLIŞ;
I535;680;7;YANLIŞ;
I535;681;7;YANLIŞ;
I535;682;7;YANLIŞ;
I535;683;7;YANLIŞ;
I535;684;7;YANLIŞ;
I535;685;7;YANLIŞ;
I535;686;7;YANLIŞ;
I535;687;7;YANLIŞ;
I535;688;7;YANLIŞ;
I535;689;7;YANLIŞ;
I535;690;7;YANLIŞ;
I535;691;7;YANLIŞ;
I535;692;7;YANLIŞ;
I535;693;7;YANLIŞ;
I535;694;7;YANLIŞ;
I535;695;7;YANLIŞ;
I535;696;7;YANLIŞ;
I535;697;7;YANLIŞ;
I535;698;7;YANLIŞ;
I535;699;7;YANLIŞ;
I535;700;7;YANLIŞ;
I535;701;7;YANLIŞ;
I535;702;7;YANLIŞ;
I535;703;7;YANLIŞ;
I535;704;7;YANLIŞ;
I535;705;7;YANLIŞ;
I535;706;7;YANLIŞ;
I535;707;7;YANLIŞ;
I535;708;7;YANLIŞ;
I535;709;7;YANLIŞ;
I535;710;7;YANLIŞ;
I535;711;7;YANLIŞ;
I535;712;7;YANLIŞ;
I535;713;7;YANLIŞ;
I535;714;7;YANLIŞ;
I535;715;7;YANLIŞ;
I535;716;7;YANLIŞ;
I535;717;7;YANLIŞ;
I535;718;7;YANLIŞ;
I535;719;7;YANLIŞ;
I535;720;7;YANLIŞ;
I535;721;7;YANLIŞ;
I535;722;7;YANLIŞ;
I535;723;7;YANLIŞ;
I535;724;7;YANLIŞ;
I535;725;7;YANLIŞ;
I535;726;7;YANLIŞ;
I535;727;7;YANLIŞ;
I535;728;7;YANLIŞ;
I535;729;7;YANLIŞ;
I535;730;7;YANLIŞ;
I535;731;7;YANLIŞ;
I535;732;7;YANLIŞ;
I535;733;7;YANLIŞ;
I535;734;11;YANLIŞ;
I535;735;11;YANLIŞ;
I535;736;11;YANLIŞ;
I535;737;11;YANLIŞ;
I535;738;11;YANLIŞ;
I535;739;11;YANLIŞ;
I535;740;11;YANLIŞ;
I535;741;11;YANLIŞ;
I535;742;11;YANLIŞ;
I535;743;11;YANLIŞ;
I535;744;11;YANLIŞ;
I535;745;11;YANLIŞ;
I535;746;11;YANLIŞ;
I535;747;11;YANLIŞ;
I535;748;11;YANLIŞ;
I535;749;11;YANLIŞ;
I535;750;11;YANLIŞ;
I535;751;11;YANLIŞ;
I535;752;11;YANLIŞ;
I535;753;11;YANLIŞ;
I535;754;11;YANLIŞ;
I535;755;11;YANLIŞ;
I535;756;11;YANLIŞ;
I535;757;11;YANLIŞ;
I535;758;11;YANLIŞ;
I535;759;11;YANLIŞ;
I535;760;11;YANLIŞ;
I535;761;11;YANLIŞ;
I535;762;11;YANLIŞ;
I535;763;11;YANLIŞ;
I535;764;11;YANLIŞ;
I535;765;11;YANLIŞ;
I535;766;11;YANLIŞ;
I535;767;11;YANLIŞ;
I535;768;11;YANLIŞ;
I535;769;11;YANLIŞ;
I535;770;11;YANLIŞ;
I535;771;11;YANLIŞ;
I535;772;11;YANLIŞ;
I535;773;11;YANLIŞ;
I535;774;11;YANLIŞ;
I535;775;11;YANLIŞ;
I535;776;11;YANLIŞ;
I535;777;11;YANLIŞ;
I535;778;11;YANLIŞ;
I535;779;11;YANLIŞ;
I535;780;11;YANLIŞ;
I535;781;11;YANLIŞ;
I535;782;11;YANLIŞ;
I535;783;11;YANLIŞ;
I535;784;11;YANLIŞ;
I535;785;11;YANLIŞ;
I535;786;11;YANLIŞ;
I535;787;11;YANLIŞ;
I535;788;11;YANLIŞ;
I535;789;11;YANLIŞ;
I535;790;11;YANLIŞ;
I535;791;11;YANLIŞ;
I535;792;11;YANLIŞ;
I535;793;11;YANLIŞ;
I535;794;11;YANLIŞ;
I535;795;11;YANLIŞ;
I535;796;11;YANLIŞ;
I535;797;11;YANLIŞ;
I535;798;11;YANLIŞ;
I535;799;11;YANLIŞ;
I535;800;11;YANLIŞ;
I535;801;11;YANLIŞ;
I535;802;11;YANLIŞ;
I535;803;11;YANLIŞ;
I535;804;11;YANLIŞ;
I535;805;11;YANLIŞ;
I535;806;11;YANLIŞ;
I535;807;11;YANLIŞ;
I535;808;11;YANLIŞ;
I535;809;11;YANLIŞ;
I535;810;11;YANLIŞ;
I535;811;11;YANLIŞ;
I535;812;11;YANLIŞ;
I535;813;11;YANLIŞ;
I535;814;11;YANLIŞ;
I535;815;11;YANLIŞ;
I535;816;11;YANLIŞ;
I535;817;11;YANLIŞ;
I535;818;11;YANLIŞ;
I535;819;11;YANLIŞ;
I535;820;11;YANLIŞ;
I535;821;11;YANLIŞ;
I535;822;11;YANLIŞ;
I535;823;11;YANLIŞ;
I535;824;11;YANLIŞ;
I535;825;11;YANLIŞ;
I535;826;11;YANLIŞ;
I535;827;11;YANLIŞ;
I535;828;11;YANLIŞ;
I535;829;11;YANLIŞ;
I535;830;11;YANLIŞ;
I535;831;11;YANLIŞ;
